Latitude (decimal degrees):	12.307
Longitude (decimal degrees):	76.650
Elevation (m):	756
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230109:0030,0.0,0.0,0.0,0.0,0.0,16.44,2.48,0.0
20230109:0130,5.37,0.0,16.5,0.0,2.12,16.12,2.41,0.0
20230109:0230,128.77,95.4,88.95,0.0,15.39,16.3,2.28,0.0
20230109:0330,304.93,235.95,147.85,0.0,28.04,17.97,3.45,0.0
20230109:0430,451.69,408.51,155.2,0.0,39.59,20.02,2.9,0.0
20230109:0530,623.77,671.86,126.2,0.0,49.08,21.86,2.55,0.0
20230109:0630,677.73,754.56,126.85,0.0,54.79,23.85,2.69,0.0
20230109:0730,677.87,760.61,123.65,0.0,54.82,25.1,2.97,0.0
20230109:0830,621.22,691.66,117.6,0.0,49.15,26.11,2.9,0.0
20230109:0930,510.98,554.51,108.4,0.0,39.68,26.7,2.76,0.0
20230109:1030,348.32,367.26,92.0,0.0,28.13,26.88,2.62,0.0
20230109:1130,148.59,162.0,63.9,0.0,15.49,26.6,2.55,0.0
20230109:1230,4.25,0.0,15.05,0.0,2.22,25.5,2.0,0.0
20230109:1330,0.0,0.0,0.0,0.0,0.0,23.43,2.48,0.0
20230109:1430,0.0,0.0,0.0,0.0,0.0,21.8,2.55,0.0
20230109:1530,0.0,0.0,0.0,0.0,0.0,20.5,2.62,0.0
20230109:1630,0.0,0.0,0.0,0.0,0.0,19.39,2.55,0.0
20230109:1730,0.0,0.0,0.0,0.0,0.0,18.4,2.48,0.0
20230109:1830,0.0,0.0,0.0,0.0,0.0,17.43,2.41,0.0
20230109:1930,0.0,0.0,0.0,0.0,0.0,16.44,2.34,0.0
20230109:2030,0.0,0.0,0.0,0.0,0.0,15.54,2.34,0.0
20230109:2130,0.0,0.0,0.0,0.0,0.0,14.71,2.34,0.0
20230109:2230,0.0,0.0,0.0,0.0,0.0,13.95,2.28,0.0
20230109:2330,0.0,0.0,0.0,0.0,0.0,13.28,2.28,0.0
20230110:0030,0.0,0.0,0.0,0.0,0.0,12.72,2.28,0.0
20230110:0130,4.84,0.0,15.4,0.0,2.07,12.25,2.28,0.0
20230110:0230,163.01,166.1,65.6,0.0,15.35,12.38,1.86,0.0
20230110:0330,373.3,379.11,92.6,0.0,28.03,16.82,1.79,0.0
20230110:0430,539.58,572.11,108.2,0.0,39.61,19.74,2.34,0.0
20230110:0530,649.02,713.86,117.45,0.0,49.15,22.04,2.83,0.0
20230110:0630,700.04,788.46,121.3,0.0,54.91,23.91,3.03,0.0
20230110:0730,695.64,790.51,120.05,0.0,54.98,25.17,2.97,0.0
20230110:0830,637.27,716.61,114.8,0.0,49.32,26.25,3.03,0.0
20230110:0930,524.71,574.71,105.25,0.0,39.84,26.87,3.1,0.0
20230110:1030,358.86,381.81,90.0,0.0,28.28,27.0,3.1,0.0
20230110:1130,154.01,168.45,64.3,0.0,15.62,26.58,3.1,0.0
20230110:1230,4.24,18.3,10.57,0.0,2.35,25.33,2.41,0.0
20230110:1330,0.0,0.0,0.0,0.0,0.0,23.1,2.69,0.0
20230110:1430,0.0,0.0,0.0,0.0,0.0,21.54,2.69,0.0
20230110:1530,0.0,0.0,0.0,0.0,0.0,20.33,2.62,0.0
20230110:1630,0.0,0.0,0.0,0.0,0.0,19.34,2.55,0.0
20230110:1730,0.0,0.0,0.0,0.0,0.0,18.5,2.55,0.0
20230110:1830,0.0,0.0,0.0,0.0,0.0,17.7,2.48,0.0
20230110:1930,0.0,0.0,0.0,0.0,0.0,17.01,2.28,0.0
20230110:2030,0.0,0.0,0.0,0.0,0.0,16.14,2.21,0.0
20230110:2130,0.0,0.0,0.0,0.0,0.0,15.23,2.07,0.0
20230110:2230,0.0,0.0,0.0,0.0,0.0,14.28,1.93,0.0
20230110:2330,0.0,0.0,0.0,0.0,0.0,13.45,1.86,0.0
20230111:0030,0.0,0.0,0.0,0.0,0.0,12.9,1.72,0.0
20230111:0130,4.77,0.0,15.3,0.0,2.02,12.47,1.72,0.0
20230111:0230,160.64,163.45,65.8,0.0,15.32,12.78,1.52,0.0
20230111:0330,368.1,376.36,92.8,0.0,28.02,17.36,1.1,0.0
20230111:0430,529.46,569.81,108.7,0.0,39.64,20.38,1.24,0.0
20230111:0530,635.72,713.56,117.4,0.0,49.22,22.74,1.59,0.0
20230111:0630,689.36,789.26,121.4,0.0,55.04,24.71,2.14,0.0
20230111:0730,690.88,792.26,119.85,0.0,55.15,25.95,2.62,0.0
20230111:0830,634.83,719.71,114.5,0.0,49.49,27.0,2.76,0.0
20230111:0930,524.32,578.96,105.15,0.0,40.01,27.56,2.76,0.0
20230111:1030,360.82,386.66,89.95,0.0,28.44,27.7,2.83,0.0
20230111:1130,156.74,172.65,64.5,0.0,15.76,27.34,2.76,0.0
20230111:1230,4.64,19.45,10.83,0.0,2.48,26.0,2.14,0.0
20230111:1330,0.0,0.0,0.0,0.0,0.0,23.79,2.55,0.0
20230111:1430,0.0,0.0,0.0,0.0,0.0,22.02,2.62,0.0
20230111:1530,0.0,0.0,0.0,0.0,0.0,20.66,2.55,0.0
20230111:1630,0.0,0.0,0.0,0.0,0.0,19.45,2.48,0.0
20230111:1730,0.0,0.0,0.0,0.0,0.0,18.28,2.34,0.0
20230111:1830,0.0,0.0,0.0,0.0,0.0,17.05,2.28,0.0
20230111:1930,0.0,0.0,0.0,0.0,0.0,15.75,2.0,0.0
20230111:2030,0.0,0.0,0.0,0.0,0.0,14.75,1.93,0.0
20230111:2130,0.0,0.0,0.0,0.0,0.0,13.92,1.93,0.0
20230111:2230,0.0,0.0,0.0,0.0,0.0,13.29,2.0,0.0
20230111:2330,0.0,0.0,0.0,0.0,0.0,12.8,2.07,0.0
20230112:0030,0.0,0.0,0.0,0.0,0.0,12.36,2.0,0.0
20230112:0130,4.55,0.0,14.9,0.0,1.97,12.03,1.93,0.0
20230112:0230,160.32,164.2,64.75,0.0,15.29,12.68,1.59,0.0
20230112:0330,367.63,377.36,91.25,0.0,28.02,17.52,1.17,0.0
20230112:0430,528.31,570.16,107.0,0.0,39.67,21.04,1.45,0.0
20230112:0530,634.44,712.06,116.45,0.0,49.3,23.68,1.93,0.0
20230112:0630,690.09,789.76,119.85,0.0,55.18,25.7,2.62,0.0
20230112:0730,685.67,792.76,118.9,0.0,55.32,26.81,2.41,0.0
20230112:0830,629.54,719.76,114.4,0.0,49.68,27.81,2.41,0.0
20230112:0930,520.58,579.66,105.15,0.0,40.18,28.37,2.34,0.0
20230112:1030,359.37,387.96,89.95,0.0,28.59,28.51,2.34,0.0
20230112:1130,157.38,174.1,64.7,0.0,15.9,28.18,2.28,0.0
20230112:1230,5.01,20.15,11.14,0.0,2.6,26.78,1.86,0.0
20230112:1330,0.0,0.0,0.0,0.0,0.0,24.41,2.34,0.0
20230112:1430,0.0,0.0,0.0,0.0,0.0,22.33,2.55,0.0
20230112:1530,0.0,0.0,0.0,0.0,0.0,20.82,2.62,0.0
20230112:1630,0.0,0.0,0.0,0.0,0.0,19.6,2.55,0.0
20230112:1730,0.0,0.0,0.0,0.0,0.0,18.36,2.41,0.0
20230112:1830,0.0,0.0,0.0,0.0,0.0,17.0,2.21,0.0
20230112:1930,0.0,0.0,0.0,0.0,0.0,16.68,1.38,0.0
20230112:2030,0.0,0.0,0.0,0.0,0.0,18.09,0.76,0.0
20230112:2130,0.0,0.0,0.0,0.0,0.0,17.36,0.28,0.0
20230112:2230,0.0,0.0,0.0,0.0,0.0,16.8,0.83,0.0
20230112:2330,0.0,0.0,0.0,0.0,0.0,14.85,1.17,0.0
20230113:0030,0.0,0.0,0.0,0.0,0.0,14.73,1.17,0.0
20230113:0130,6.51,0.0,18.35,0.0,1.93,15.57,0.9,0.0
20230113:0230,149.58,130.25,84.35,0.0,15.27,15.33,0.48,0.0
20230113:0330,353.37,332.11,120.95,0.0,28.02,16.97,0.28,0.0
20230113:0430,511.44,525.46,135.85,0.0,39.71,21.18,0.83,0.0
20230113:0530,617.29,674.41,140.4,0.0,49.39,23.6,1.17,0.0
20230113:0630,660.04,731.51,155.7,0.0,55.32,25.56,1.24,0.0
20230113:0730,661.91,753.96,139.9,0.0,55.5,26.91,1.38,0.0
20230113:0830,609.21,677.86,137.95,0.0,49.86,27.85,1.59,0.0
20230113:0930,500.68,532.66,129.0,0.0,40.35,28.35,1.79,0.0
20230113:1030,342.02,334.81,120.8,0.0,28.75,28.46,1.93,0.0
20230113:1130,147.23,130.25,89.8,0.0,16.04,28.15,2.0,0.0
20230113:1230,8.08,10.7,18.75,0.0,2.73,26.89,1.72,0.0
20230113:1330,0.0,0.0,0.0,0.0,0.0,24.68,2.21,0.0
20230113:1430,0.0,0.0,0.0,0.0,0.0,22.8,2.48,0.0
20230113:1530,0.0,0.0,0.0,0.0,0.0,21.44,2.55,0.0
20230113:1630,0.0,0.0,0.0,0.0,0.0,20.42,2.55,0.0
20230113:1730,0.0,0.0,0.0,0.0,0.0,19.38,2.41,0.0
20230113:1830,0.0,0.0,0.0,0.0,0.0,18.25,2.14,0.0
20230113:1930,0.0,0.0,0.0,0.0,0.0,16.93,1.93,0.0
20230113:2030,0.0,0.0,0.0,0.0,0.0,15.72,1.93,0.0
20230113:2130,0.0,0.0,0.0,0.0,0.0,14.73,1.93,0.0
20230113:2230,0.0,0.0,0.0,0.0,0.0,14.0,1.93,0.0
20230113:2330,0.0,0.0,0.0,0.0,0.0,13.39,2.0,0.0
20230114:0030,0.0,0.0,0.0,0.0,0.0,12.98,1.93,0.0
20230114:0130,5.0,0.0,15.7,0.0,1.88,12.83,1.79,0.0
20230114:0230,155.75,154.2,69.0,0.0,15.25,13.55,1.38,0.0
20230114:0330,362.34,363.36,100.1,0.0,28.02,17.74,0.9,0.0
20230114:0430,527.31,572.06,107.35,0.0,39.75,21.29,1.17,0.0
20230114:0530,631.96,716.91,116.55,0.0,49.48,23.8,1.38,0.0
20230114:0630,682.42,779.91,129.75,0.0,55.46,25.84,1.93,0.0
20230114:0730,673.74,761.66,138.1,0.0,55.69,27.07,2.14,0.0
20230114:0830,629.53,718.41,118.55,0.0,50.05,28.04,2.28,0.0
20230114:0930,522.91,583.36,105.9,0.0,40.52,28.6,2.28,0.0
20230114:1030,362.76,391.36,91.2,0.0,28.9,28.78,2.34,0.0
20230114:1130,161.56,178.95,65.0,0.0,16.18,28.49,2.41,0.0
20230114:1230,5.85,21.8,11.72,0.0,2.85,27.16,1.86,0.0
20230114:1330,0.0,0.0,0.0,0.0,0.0,24.89,2.28,0.0
20230114:1430,0.0,0.0,0.0,0.0,0.0,22.74,2.34,0.0
20230114:1530,0.0,0.0,0.0,0.0,0.0,20.98,2.41,0.0
20230114:1630,0.0,0.0,0.0,0.0,0.0,19.54,2.48,0.0
20230114:1730,0.0,0.0,0.0,0.0,0.0,18.35,2.48,0.0
20230114:1830,0.0,0.0,0.0,0.0,0.0,17.14,2.34,0.0
20230114:1930,0.0,0.0,0.0,0.0,0.0,15.94,2.14,0.0
20230114:2030,0.0,0.0,0.0,0.0,0.0,15.53,1.66,0.0
20230114:2130,0.0,0.0,0.0,0.0,0.0,16.72,1.17,0.0
20230114:2230,0.0,0.0,0.0,0.0,0.0,17.11,0.9,0.0
20230114:2330,0.0,0.0,0.0,0.0,0.0,16.15,1.1,0.0
20230115:0030,0.0,0.0,0.0,0.0,0.0,14.99,1.17,0.0
20230115:0130,4.22,0.0,14.5,0.0,1.85,15.29,1.03,0.0
20230115:0230,158.06,165.85,64.0,0.0,15.23,15.43,0.76,0.0
20230115:0330,366.97,380.71,90.3,0.0,28.03,17.28,0.41,0.0
20230115:0430,525.52,574.71,106.3,0.0,39.8,21.38,0.83,0.0
20230115:0530,630.1,718.61,115.8,0.0,49.57,23.88,1.17,0.0
20230115:0630,684.29,797.76,119.55,0.0,55.62,25.9,1.66,0.0
20230115:0730,685.7,795.86,122.15,0.0,55.88,27.19,2.14,0.0
20230115:0830,629.55,719.16,120.1,0.0,50.25,28.14,2.14,0.0
20230115:0930,517.34,562.21,120.3,0.0,40.7,28.68,2.21,0.0
20230115:1030,362.54,387.26,95.05,0.0,29.06,28.81,2.28,0.0
20230115:1130,162.35,172.95,70.85,0.0,16.32,28.52,2.34,0.0
20230115:1230,7.06,16.85,15.02,0.0,2.98,27.19,1.86,0.0
20230115:1330,0.0,0.0,0.0,0.0,0.0,24.86,2.41,0.0
20230115:1430,0.0,0.0,0.0,0.0,0.0,22.79,2.62,0.0
20230115:1530,0.0,0.0,0.0,0.0,0.0,21.39,2.69,0.0
20230115:1630,0.0,0.0,0.0,0.0,0.0,20.27,2.76,0.0
20230115:1730,0.0,0.0,0.0,0.0,0.0,19.38,2.69,0.0
20230115:1830,0.0,0.0,0.0,0.0,0.0,18.57,2.62,0.0
20230115:1930,0.0,0.0,0.0,0.0,0.0,17.27,1.86,0.0
20230115:2030,0.0,0.0,0.0,0.0,0.0,16.22,1.38,0.0
20230115:2130,0.0,0.0,0.0,0.0,0.0,16.63,1.03,0.0
20230115:2230,0.0,0.0,0.0,0.0,0.0,16.25,0.83,0.0
20230115:2330,0.0,0.0,0.0,0.0,0.0,15.78,0.76,0.0
20230116:0030,0.0,0.0,0.0,0.0,0.0,15.21,0.76,0.0
20230116:0130,4.19,0.0,14.4,0.0,1.81,14.6,0.69,0.0
20230116:0230,158.13,165.9,63.2,0.0,15.22,14.32,0.62,0.0
20230116:0330,366.54,382.26,88.1,0.0,28.05,17.25,0.41,0.0
20230116:0430,521.34,569.41,107.3,0.0,39.85,20.91,0.55,0.0
20230116:0530,620.02,709.66,119.25,0.0,49.68,23.49,0.55,0.0
20230116:0630,666.34,785.06,123.2,0.0,55.78,25.63,0.69,0.0
20230116:0730,667.75,771.41,134.2,0.0,56.08,27.21,1.31,0.0
20230116:0830,622.12,714.11,120.5,0.0,50.45,28.31,1.72,0.0
20230116:0930,516.95,573.36,111.4,0.0,40.88,28.91,1.93,0.0
20230116:1030,361.54,388.81,93.05,0.0,29.22,29.08,2.14,0.0
20230116:1130,162.81,178.4,66.55,0.0,16.46,28.82,2.28,0.0
20230116:1230,6.62,22.8,12.31,0.0,3.1,27.63,1.86,0.0
20230116:1330,0.0,0.0,0.0,0.0,0.0,25.45,2.41,0.0
20230116:1430,0.0,0.0,0.0,0.0,0.0,23.54,2.55,0.0
20230116:1530,0.0,0.0,0.0,0.0,0.0,22.2,2.62,0.0
20230116:1630,0.0,0.0,0.0,0.0,0.0,21.05,2.62,0.0
20230116:1730,0.0,0.0,0.0,0.0,0.0,19.96,2.62,0.0
20230116:1830,0.0,0.0,0.0,0.0,0.0,18.96,2.62,0.0
20230116:1930,0.0,0.0,0.0,0.0,0.0,18.3,2.48,0.0
20230116:2030,0.0,0.0,0.0,0.0,0.0,17.53,2.41,0.0
20230116:2130,0.0,0.0,0.0,0.0,0.0,16.78,2.28,0.0
20230116:2230,0.0,0.0,0.0,0.0,0.0,15.96,2.07,0.0
20230116:2330,0.0,0.0,0.0,0.0,0.0,15.01,1.93,0.0
20230117:0030,0.0,0.0,0.0,0.0,0.0,14.16,1.72,0.0
20230117:0130,4.06,0.0,14.15,0.0,1.78,14.02,1.52,0.0
20230117:0230,153.34,159.3,63.05,0.0,15.21,14.61,1.1,0.0
20230117:0330,358.89,371.66,88.95,0.0,28.07,18.19,0.76,0.0
20230117:0430,516.33,558.56,107.4,0.0,39.9,21.25,0.97,0.0
20230117:0530,617.25,700.16,117.35,0.0,49.78,23.66,0.97,0.0
20230117:0630,668.03,777.21,122.05,0.0,55.95,25.76,1.24,0.0
20230117:0730,673.44,783.51,121.3,0.0,56.29,27.19,1.79,0.0
20230117:0830,625.95,717.91,115.65,0.0,50.65,28.33,2.21,0.0
20230117:0930,523.11,583.41,105.85,0.0,41.07,28.93,2.41,0.0
20230117:1030,364.8,394.26,91.0,0.0,29.38,29.1,2.34,0.0
20230117:1130,164.99,181.15,66.3,0.0,16.61,28.8,2.41,0.0
20230117:1230,7.09,23.55,12.63,0.0,3.23,27.59,2.14,0.0
20230117:1330,0.0,0.0,0.0,0.0,0.0,25.07,2.76,0.0
20230117:1430,0.0,0.0,0.0,0.0,0.0,23.2,2.97,0.0
20230117:1530,0.0,0.0,0.0,0.0,0.0,22.0,3.1,0.0
20230117:1630,0.0,0.0,0.0,0.0,0.0,20.96,2.97,0.0
20230117:1730,0.0,0.0,0.0,0.0,0.0,19.93,2.69,0.0
20230117:1830,0.0,0.0,0.0,0.0,0.0,18.95,2.48,0.0
20230117:1930,0.0,0.0,0.0,0.0,0.0,18.1,2.21,0.0
20230117:2030,0.0,0.0,0.0,0.0,0.0,16.92,2.0,0.0
20230117:2130,0.0,0.0,0.0,0.0,0.0,15.6,1.93,0.0
20230117:2230,0.0,0.0,0.0,0.0,0.0,14.5,1.93,0.0
20230117:2330,0.0,0.0,0.0,0.0,0.0,13.69,2.0,0.0
20230118:0030,0.0,0.0,0.0,0.0,0.0,13.05,2.0,0.0
20230118:0130,4.21,0.0,14.35,0.0,1.76,12.59,2.0,0.0
20230118:0230,157.72,160.45,65.15,0.0,15.21,12.78,1.79,0.0
20230118:0330,368.52,374.16,93.2,0.0,28.09,17.65,1.79,0.0
20230118:0430,536.58,570.71,108.95,0.0,39.97,20.62,2.28,0.0
20230118:0530,636.24,695.11,126.7,0.0,49.9,23.11,2.48,0.0
20230118:0630,690.46,771.61,135.4,0.0,56.12,25.2,2.69,0.0
20230118:0730,690.65,772.91,137.95,0.0,56.5,26.6,2.97,0.0
20230118:0830,639.07,714.06,126.5,0.0,50.86,27.69,3.03,0.0
20230118:0930,532.37,584.76,110.5,0.0,41.25,28.28,3.03,0.0
20230118:1030,372.13,395.81,94.45,0.0,29.55,28.37,3.17,0.0
20230118:1130,169.47,182.95,68.5,0.0,16.75,28.0,3.24,0.0
20230118:1230,7.9,23.75,13.6,0.0,3.35,26.79,2.69,0.0
20230118:1330,0.0,0.0,0.0,0.0,0.0,24.43,2.83,0.0
20230118:1430,0.0,0.0,0.0,0.0,0.0,22.72,2.9,0.0
20230118:1530,0.0,0.0,0.0,0.0,0.0,21.49,2.9,0.0
20230118:1630,0.0,0.0,0.0,0.0,0.0,20.47,2.9,0.0
20230118:1730,0.0,0.0,0.0,0.0,0.0,19.65,2.83,0.0
20230118:1830,0.0,0.0,0.0,0.0,0.0,18.87,2.76,0.0
20230118:1930,0.0,0.0,0.0,0.0,0.0,18.19,2.55,0.0
20230118:2030,0.0,0.0,0.0,0.0,0.0,17.48,2.48,0.0
20230118:2130,0.0,0.0,0.0,0.0,0.0,16.76,2.48,0.0
20230118:2230,0.0,0.0,0.0,0.0,0.0,16.11,2.41,0.0
20230118:2330,0.0,0.0,0.0,0.0,0.0,15.54,2.41,0.0
20230119:0030,0.0,0.0,0.0,0.0,0.0,15.03,2.34,0.0
20230119:0130,4.24,0.0,14.5,0.0,1.74,14.72,2.21,0.0
20230119:0230,150.18,147.2,69.3,0.0,15.21,14.84,2.0,0.0
20230119:0330,354.67,342.91,104.4,0.0,28.12,17.25,2.21,0.0
20230119:0430,532.66,556.26,115.0,0.0,40.03,19.71,2.28,0.0
20230119:0530,647.6,718.36,120.0,0.0,50.02,22.1,2.07,0.0
20230119:0630,699.38,798.76,124.0,0.0,56.3,24.38,2.21,0.0
20230119:0730,701.67,808.26,122.0,0.0,56.72,25.98,2.48,0.0
20230119:0830,649.31,740.16,116.5,0.0,51.07,27.19,2.69,0.0
20230119:0930,542.05,601.06,107.25,0.0,41.44,27.81,2.83,0.0
20230119:1030,380.34,408.06,92.35,0.0,29.71,27.9,2.97,0.0
20230119:1130,174.77,190.3,67.75,0.0,16.89,27.51,3.03,0.0
20230119:1230,8.36,25.9,13.35,0.0,3.47,26.4,2.41,0.0
20230119:1330,0.0,0.0,0.0,0.0,0.0,24.17,2.62,0.0
20230119:1430,0.0,0.0,0.0,0.0,0.0,22.42,2.69,0.0
20230119:1530,0.0,0.0,0.0,0.0,0.0,21.11,2.76,0.0
20230119:1630,0.0,0.0,0.0,0.0,0.0,20.05,2.76,0.0
20230119:1730,0.0,0.0,0.0,0.0,0.0,19.13,2.69,0.0
20230119:1830,0.0,0.0,0.0,0.0,0.0,18.27,2.69,0.0
